championship_name,event,round,player_a,state_a,score_a,player_b,state_b,score_b,winner
38th National Games Uttarakhand,Compound Men Individual,Round 1,Gurwinder Singh,Punjab,145,Priyansh,Delhi,148,Priyansh
38th National Games Uttarakhand,Compound Men Individual,Round 1,Kushal Dalal,Haryana,148,Shekher Vaidwan,Services Sports Control Board,146,Kushal Dalal
38th National Games Uttarakhand,Compound Men Individual,Round 1,Aman Saini,Delhi,146(1,Tejbeersingh Jahagirdar,Maharashtra,146(9,
38th National Games Uttarakhand,Compound Men Individual,Round 1,Naveen,Chandigarh,140,Chirag Vidhyarthi,Madhya Pradesh,148,Chirag Vidhyarthi
38th National Games Uttarakhand,Compound Men Individual,Round 1,Uday Kamboj,Punjab,148,Amit Thakur,Jammu and Kashmir,142,Uday Kamboj
38th National Games Uttarakhand,Compound Men Individual,Round 1,Simranjot Singh,Punjab,141,Rajat Chauhan,Rajasthan,147,Rajat Chauhan
38th National Games Uttarakhand,Compound Men Individual,Round 1,Sukhmandeep Singh,Punjab,144(1,Amit Thakur,Jammu and Kashmir,144(9,
38th National Games Uttarakhand,Compound Men Individual,Round 1,Chittibomma Jignas,Services Sports Control Board,143,Rishabh Yadav,Haryana,146,Rishabh Yadav
38th National Games Uttarakhand,Compound Men Individual,Round 2,Abhishek Verma,Delhi,147,Ojas Deotale,Maharashtra,149,Ojas Deotale
38th National Games Uttarakhand,Compound Men Individual,Round 2,Sahil Jadhav,Maharashtra,148,Thirumuru Mani Ratnam,Andhra Pradesh,148,
38th National Games Uttarakhand,Compound Men Individual,Round 2,Jasmeet Singh,Rajasthan,148,Hritik Sharma,Jammu and Kashmir,149,Hritik Sharma
38th National Games Uttarakhand,Compound Men Individual,Round 2,Mohit Dagar,Haryana,146,Priyansh,Delhi,147,Priyansh
38th National Games Uttarakhand,Compound Men Individual,Round 2,Kushal Dalal,Haryana,149,Aman Saini,Delhi,147,Kushal Dalal
38th National Games Uttarakhand,Compound Men Individual,Round 2,Prathmesh Fuge,Maharashtra,148,Chirag Vidhyarthi,Madhya Pradesh,145,Prathmesh Fuge
38th National Games Uttarakhand,Compound Men Individual,Round 2,Uday Kamboj,Punjab,147,Rajat Chauhan,Rajasthan,150,Rajat Chauhan
38th National Games Uttarakhand,Compound Men Individual,Round 2,Sukhmandeep Singh,Punjab,145,Rishabh Yadav,Haryana,149,Rishabh Yadav
38th National Games Uttarakhand,Compound Men Individual,Quarter Final,Ojas Deotale,Maharashtra,147,Thirumuru Mani Ratnam,Andhra Pradesh,147,
38th National Games Uttarakhand,Compound Men Individual,Quarter Final,Hritik Sharma,Jammu and Kashmir,148,Priyansh,Delhi,146,Hritik Sharma
38th National Games Uttarakhand,Compound Men Individual,Quarter Final,Kushal Dalal,Haryana,149,Prathmesh Fuge,Maharashtra,146,Kushal Dalal
38th National Games Uttarakhand,Compound Men Individual,Quarter Final,Rajat Chauhan,Rajasthan,149,Rishabh Yadav,Haryana,148,Rajat Chauhan
38th National Games Uttarakhand,Compound Men Individual,Semi Final,Thirumuru Mani Ratnam,Andhra Pradesh,145,Hritik Sharma,Jammu and Kashmir,248,Hritik Sharma
38th National Games Uttarakhand,Compound Men Individual,Semi Final,Kushal Dalal,Haryana,145,Rajat Chauhan,Rajasthan,146,Rajat Chauhan
38th National Games Uttarakhand,Compound Men Individual,Final,Rajat Chauhan,Rajasthan,144,Hritik Sharma,Jammu and Kashmir,143,Rajat Chauhan
38th National Games Uttarakhand,Compound Men Individual,Winner,Rajat Chauhan,Rajasthan,,,,,
38th National Games Uttarakhand,Compound Men Individual,Round 1,Thirumuru Mani Ratnam,Andhra Pradesh,149,Kushal Dalal,Haryana,144,Thirumuru Mani Ratnam
38th National Games Uttarakhand,Compound Men Individual,Round 2,Thirumuru Mani Ratnam,Andhra Pradesh,,,,,
38th National Games Uttarakhand,Compound Men Individual,Bronze,Abhishek Verma,Delhi,149,Prince Rajput,Uttar Pradesh,147,Abhishek Verma
38th National Games Uttarakhand,Compound Men Individual,Bronze,Prathmesh Fuge,Maharashtra,147,Siddharth Dudhwal,Rajasthan,145,Prathmesh Fuge
38th National Games Uttarakhand,Compound Men Individual,Bronze,Ojas Deotale,Maharashtra,147,Deepak Kumar,Jharkhand,145,Ojas Deotale
38th National Games Uttarakhand,Compound Men Individual,Bronze,Sahil Jadhav,Maharashtra,146,Toman Kumar,Chhattisgarh,142,Sahil Jadhav
38th National Games Uttarakhand,Compound Men Individual,Bronze,Madhur,Delhi,147(9,Thirumuru Mani Ratnam,Andhra Pradesh,147(1,
38th National Games Uttarakhand,Compound Men Individual,Bronze,Jasmeet Singh,Rajasthan,145,Chinnaraju Srither,Tamil Nadu,139,Jasmeet Singh
38th National Games Uttarakhand,Compound Men Individual,Bronze,Rohit Dagar,Haryana,145,Hritik Sharma,Jammu and Kashmir,147,Hritik Sharma
38th National Games Uttarakhand,Compound Men Individual,Bronze,Mohit Dagar,Haryana,147,Kunderu Venkatadri,Services Sports Control Board,145,Mohit Dagar
38th National Games Uttarakhand,Compound Men Individual,Bronze,Gurwinder Singh,Punjab,145,Priyansh,Delhi,148,Priyansh
38th National Games Uttarakhand,Compound Men Individual,Bronze,Kushal Dalal,Haryana,148,Shekher Vaidwan,Services Sports Control Board,146,Kushal Dalal
38th National Games Uttarakhand,Compound Men Individual,Bronze,Aman Saini,Delhi,146(1,Tejbeersingh Jahagirdar,Maharashtra,146(9,
38th National Games Uttarakhand,Compound Men Individual,Bronze,Naveen,Chandigarh,140,Chirag Vidhyarthi,Madhya Pradesh,148,Chirag Vidhyarthi
