winner,event_name,country,score_a,player_b,player_a,championship_name,score_b,round_name
"Ipek Tomruk, Irmak Yuksel, Hazal Burun",Compound Women,TUR,231,"Cloé Isch, Myriam Hasler, Clementine De Giuli","Ipek Tomruk, Irmak Yuksel, Hazal Burun",World Archery Championship 2023,189,1/12 Eliminations
"Jyothi Surekha Vennam, Parneet Kaur, Aditi Gopichand Swami",Compound Women,IND,0,"Jyothi Surekha Vennam, Parneet Kaur, Aditi Gopichand Swami",,World Archery Championship 2023,0,1/12 Eliminations
"Alexis Ruiz, Sawyer Sullivan",Compound Mixed Team,USA,156,"Sebastian Arenas, Sara Lopez","Alexis Ruiz, Sawyer Sullivan",World Archery Championship 2023,154,Gold Medal Match
"Gilles Seywert, Mariya Klein",Compound Mixed Team,LUX,155,"Gilles Seywert, Mariya Klein","Sanne de Laat, Mike Schloesser",World Archery Championship 2023,156,Bronze Medal Match
"Alexis Ruiz, Sawyer Sullivan",Compound Mixed Team,USA,154,"Sanne de Laat, Mike Schloesser","Alexis Ruiz, Sawyer Sullivan",World Archery Championship 2023,151,Semifinals
"Sebastian Arenas, Sara Lopez",Compound Mixed Team,COL,153,"Sebastian Arenas, Sara Lopez","Gilles Seywert, Mariya Klein",World Archery Championship 2023,155,Semifinals
"Alexis Ruiz, Sawyer Sullivan",Compound Mixed Team,USA,153,"Alexis Ruiz, Sawyer Sullivan","Jyothi Surekha Vennam, Ojas Pravin Deotale",World Archery Championship 2023,154,Quarterfinals
"Sanne de Laat, Mike Schloesser",Compound Mixed Team,NED,153,"Sofia Paiz, Roberto Hernandez","Sanne de Laat, Mike Schloesser",World Archery Championship 2023,148,Quarterfinals
"Gilles Seywert, Mariya Klein",Compound Mixed Team,LUX,150,"Gilles Seywert, Mariya Klein","Federico Pagnoni, Elisa Roner",World Archery Championship 2023,156,Quarterfinals
"Sebastian Arenas, Sara Lopez",Compound Mixed Team,COL,151,"Sebastian Arenas, Sara Lopez","Lisell Jaatma, Robin Jaatma",World Archery Championship 2023,154,Quarterfinals
"Jyothi Surekha Vennam, Ojas Pravin Deotale",Compound Mixed Team,IND,156,"Rhiannon Mills, Brandon Hawes","Jyothi Surekha Vennam, Ojas Pravin Deotale",World Archery Championship 2023,152,1/8 Eliminations
"Alexis Ruiz, Sawyer Sullivan",Compound Mixed Team,USA,156,"Przemyslaw Konecki, Sandra Jankowska","Alexis Ruiz, Sawyer Sullivan",World Archery Championship 2023,156,1/8 Eliminations
"Sanne de Laat, Mike Schloesser",Compound Mixed Team,NED,154,"Isabelle Carpenter, Adam Carpenter","Sanne de Laat, Mike Schloesser",World Archery Championship 2023,148,1/8 Eliminations
"Sofia Paiz, Roberto Hernandez",Compound Mixed Team,ESA,153,"Sofia Paiz, Roberto Hernandez","Mohd Juwaidi Mazuki, Fatin Nurfatehah Mat Salleh",World Archery Championship 2023,155,1/8 Eliminations
"Federico Pagnoni, Elisa Roner",Compound Mixed Team,ITA,156,"Federico Pagnoni, Elisa Roner","Jongho Kim, Chaewon So",World Archery Championship 2023,157,1/8 Eliminations
"Gilles Seywert, Mariya Klein",Compound Mixed Team,LUX,159,"Sebastian Garcia, Dafne Quintero","Gilles Seywert, Mariya Klein",World Archery Championship 2023,157,1/8 Eliminations
"Lisell Jaatma, Robin Jaatma",Compound Mixed Team,EST,154,"Luccas Abreu, Eiry Cristina Snak Nisi","Lisell Jaatma, Robin Jaatma",World Archery Championship 2023,150,1/8 Eliminations
"Sebastian Arenas, Sara Lopez",Compound Mixed Team,COL,155,"Sebastian Arenas, Sara Lopez","Lu-Yun Wang, Chieh-Lun Chen",World Archery Championship 2023,155,1/8 Eliminations
"Jyothi Surekha Vennam, Ojas Pravin Deotale",Compound Mixed Team,IND,0,,"Jyothi Surekha Vennam, Ojas Pravin Deotale",World Archery Championship 2023,0,1/12 Eliminations
"Rhiannon Mills, Brandon Hawes",Compound Mixed Team,AUS,151,"Rhiannon Mills, Brandon Hawes","Leon Hollas, Katharina Raab",World Archery Championship 2023,156,1/12 Eliminations
"Alexis Ruiz, Sawyer Sullivan",Compound Mixed Team,USA,158,"Jozef Bosansky, Petra Kocutova","Alexis Ruiz, Sawyer Sullivan",World Archery Championship 2023,150,1/12 Eliminations
"Przemyslaw Konecki, Sandra Jankowska",Compound Mixed Team,POL,0,"Przemyslaw Konecki, Sandra Jankowska",,World Archery Championship 2023,0,1/12 Eliminations
"Sanne de Laat, Mike Schloesser",Compound Mixed Team,NED,0,,"Sanne de Laat, Mike Schloesser",World Archery Championship 2023,0,1/12 Eliminations
"Isabelle Carpenter, Adam Carpenter",Compound Mixed Team,GBR,150,"Isabelle Carpenter, Adam Carpenter","Lara Drobnjak, Domagoj Buden",World Archery Championship 2023,152,1/12 Eliminations
"Mohd Juwaidi Mazuki, Fatin Nurfatehah Mat Salleh",Compound Mixed Team,MAS,152,"Mohd Juwaidi Mazuki, Fatin Nurfatehah Mat Salleh","Viktoriya Lyan, Andrey Tyutyun",World Archery Championship 2023,152,1/12 Eliminations
"Sofia Paiz, Roberto Hernandez",Compound Mixed Team,ESA,0,"Sofia Paiz, Roberto Hernandez",,World Archery Championship 2023,0,1/12 Eliminations
"Jongho Kim, Chaewon So",Compound Mixed Team,KOR,0,,"Jongho Kim, Chaewon So",World Archery Championship 2023,0,1/12 Eliminations
"Federico Pagnoni, Elisa Roner",Compound Mixed Team,ITA,151,"Federico Pagnoni, Elisa Roner","Sandra Herve, Adrien Gontier",World Archery Championship 2023,157,1/12 Eliminations
"Gilles Seywert, Mariya Klein",Compound Mixed Team,LUX,159,"Nico Wiener, Ingrid Ronacher","Gilles Seywert, Mariya Klein",World Archery Championship 2023,154,1/12 Eliminations
"Sebastian Garcia, Dafne Quintero",Compound Mixed Team,MEX,0,"Sebastian Garcia, Dafne Quintero",,World Archery Championship 2023,0,1/12 Eliminations
"Lisell Jaatma, Robin Jaatma",Compound Mixed Team,EST,0,,"Lisell Jaatma, Robin Jaatma",World Archery Championship 2023,0,1/12 Eliminations
"Luccas Abreu, Eiry Cristina Snak Nisi",Compound Mixed Team,BRA,155,"Emircan Haney, Ipek Tomruk","Luccas Abreu, Eiry Cristina Snak Nisi",World Archery Championship 2023,154,1/12 Eliminations
"Lu-Yun Wang, Chieh-Lun Chen",Compound Mixed Team,TPE,153,"Lu-Yun Wang, Chieh-Lun Chen","Paola Ramirez Gonzalez, Jean Pizarro Latorre",World Archery Championship 2023,156,1/12 Eliminations
"Sebastian Arenas, Sara Lopez",Compound Mixed Team,COL,0,"Sebastian Arenas, Sara Lopez",,World Archery Championship 2023,0,1/12 Eliminations
"Sihyeon Lim, Woojin Kim",Recurve Mixed Team,KOR,5,"Florian Unruh, Michelle Kroppen","Sihyeon Lim, Woojin Kim",World Archery Championship 2023,1,Gold Medal Match
"Tatiana Andreoli, Mauro Nespoli",Recurve Mixed Team,ITA,5,"Chien-Ying Lei, Chih-Chun Tang","Tatiana Andreoli, Mauro Nespoli",World Archery Championship 2023,3,Bronze Medal Match
"Sihyeon Lim, Woojin Kim",Recurve Mixed Team,KOR,6,"Tatiana Andreoli, Mauro Nespoli","Sihyeon Lim, Woojin Kim",World Archery Championship 2023,0,Semifinals
"Florian Unruh, Michelle Kroppen",Recurve Mixed Team,GER,5,"Chien-Ying Lei, Chih-Chun Tang","Florian Unruh, Michelle Kroppen",World Archery Championship 2023,4,Semifinals
"Sihyeon Lim, Woojin Kim",Recurve Mixed Team,KOR,6,"Alina Timraliyeva, Ilfat Abdullin","Sihyeon Lim, Woojin Kim",World Archery Championship 2023,0,Quarterfinals
"Tatiana Andreoli, Mauro Nespoli",Recurve Mixed Team,ITA,2,"Tatiana Andreoli, Mauro Nespoli","Casey Kaufhold, Brady Ellison",World Archery Championship 2023,6,Quarterfinals
"Florian Unruh, Michelle Kroppen",Recurve Mixed Team,GER,2,"Florian Unruh, Michelle Kroppen","Takaharu Furukawa, Satsuki Tokugawa",World Archery Championship 2023,6,Quarterfinals
"Chien-Ying Lei, Chih-Chun Tang",Recurve Mixed Team,TPE,5,"Carlos Rojas, Alejandra Valencia","Chien-Ying Lei, Chih-Chun Tang",World Archery Championship 2023,1,Quarterfinals
"Sihyeon Lim, Woojin Kim",Recurve Mixed Team,KOR,5,"Ivan Kozhokar, Anastasia Pavlova","Sihyeon Lim, Woojin Kim",World Archery Championship 2023,4,1/8 Eliminations
"Alina Timraliyeva, Ilfat Abdullin",Recurve Mixed Team,KAZ,5,"Lisa Barbelin, Jean-Charles Valladont","Alina Timraliyeva, Ilfat Abdullin",World Archery Championship 2023,3,1/8 Eliminations
"Casey Kaufhold, Brady Ellison",Recurve Mixed Team,USA,5,"Diananda Choirunisa, Riau Ega Agata Salsabilla","Casey Kaufhold, Brady Ellison",World Archery Championship 2023,1,1/8 Eliminations
"Tatiana Andreoli, Mauro Nespoli",Recurve Mixed Team,ITA,5,"Ankita Bhakat, Dhiraj Bommadevara","Tatiana Andreoli, Mauro Nespoli",World Archery Championship 2023,4,1/8 Eliminations
"Takaharu Furukawa, Satsuki Tokugawa",Recurve Mixed Team,JPN,1,"Takaharu Furukawa, Satsuki Tokugawa","Xiangshuo Qi, Qixuan An",World Archery Championship 2023,5,1/8 Eliminations
"Florian Unruh, Michelle Kroppen",Recurve Mixed Team,GER,2,"Florian Unruh, Michelle Kroppen","Steve Wijler, Quinty Roeffen",World Archery Championship 2023,6,1/8 Eliminations
"Chien-Ying Lei, Chih-Chun Tang",Recurve Mixed Team,TPE,5,"James Woodgate, Penny Healey","Chien-Ying Lei, Chih-Chun Tang",World Archery Championship 2023,1,1/8 Eliminations
"Carlos Rojas, Alejandra Valencia",Recurve Mixed Team,MEX,2,"Carlos Rojas, Alejandra Valencia","Mete Gazoz, Fatma Marasli",World Archery Championship 2023,6,1/8 Eliminations
"Sihyeon Lim, Woojin Kim",Recurve Mixed Team,KOR,0,,"Sihyeon Lim, Woojin Kim",World Archery Championship 2023,0,1/12 Eliminations
"Ivan Kozhokar, Anastasia Pavlova",Recurve Mixed Team,UKR,3,"Ivan Kozhokar, Anastasia Pavlova","Marina Canetta, Marcus D’Almeida",World Archery Championship 2023,5,1/12 Eliminations
"Alina Timraliyeva, Ilfat Abdullin",Recurve Mixed Team,KAZ,0,"Alina Timraliyeva, Ilfat Abdullin","Pablo Acha, Elia Canales",World Archery Championship 2023,6,1/12 Eliminations
"Lisa Barbelin, Jean-Charles Valladont",Recurve Mixed Team,FRA,0,"Lisa Barbelin, Jean-Charles Valladont",,World Archery Championship 2023,0,1/12 Eliminations
"Casey Kaufhold, Brady Ellison",Recurve Mixed Team,USA,0,,"Casey Kaufhold, Brady Ellison",World Archery Championship 2023,0,1/12 Eliminations
"Diananda Choirunisa, Riau Ega Agata Salsabilla",Recurve Mixed Team,INA,1,"Diananda Choirunisa, Riau Ega Agata Salsabilla","Kirstine Danstrup Andersen, Oliver Staudt",World Archery Championship 2023,5,1/12 Eliminations
"Tatiana Andreoli, Mauro Nespoli",Recurve Mixed Team,ITA,5,"Ana Maria Rendon, Jorge Enriquez","Tatiana Andreoli, Mauro Nespoli",World Archery Championship 2023,1,1/12 Eliminations
"Ankita Bhakat, Dhiraj Bommadevara",Recurve Mixed Team,IND,0,"Ankita Bhakat, Dhiraj Bommadevara",,World Archery Championship 2023,0,1/12 Eliminations
"Xiangshuo Qi, Qixuan An",Recurve Mixed Team,CHN,0,,"Xiangshuo Qi, Qixuan An",World Archery Championship 2023,0,1/12 Eliminations
"Takaharu Furukawa, Satsuki Tokugawa",Recurve Mixed Team,JPN,2,"Takaharu Furukawa, Satsuki Tokugawa","Marie Horackova, Josef Kresala",World Archery Championship 2023,6,1/12 Eliminations
"Steve Wijler, Quinty Roeffen",Recurve Mixed Team,NED,6,"Magdalena Smialkowska-Zawisza, Kacper Sierakowski","Steve Wijler, Quinty Roeffen",World Archery Championship 2023,2,1/12 Eliminations
"Florian Unruh, Michelle Kroppen",Recurve Mixed Team,GER,0,"Florian Unruh, Michelle Kroppen",,World Archery Championship 2023,0,1/12 Eliminations
"Chien-Ying Lei, Chih-Chun Tang",Recurve Mixed Team,TPE,0,,"Chien-Ying Lei, Chih-Chun Tang",World Archery Championship 2023,0,1/12 Eliminations
"James Woodgate, Penny Healey",Recurve Mixed Team,GBR,0,"James Woodgate, Penny Healey","Eric Peters, Virginie Chénier",World Archery Championship 2023,6,1/12 Eliminations
"Mete Gazoz, Fatma Marasli",Recurve Mixed Team,TUR,4,"Mete Gazoz, Fatma Marasli","Thi Anh Nguyet Do, Duy Nguyen",World Archery Championship 2023,5,1/12 Eliminations
"Carlos Rojas, Alejandra Valencia",Recurve Mixed Team,MEX,0,"Carlos Rojas, Alejandra Valencia",,World Archery Championship 2023,0,1/12 Eliminations
Danelle Wentzel-Lutz,Compound Women,RSA,0,,Danelle Wentzel-Lutz,World Archery Championship 2021,0,1/48 Eliminations
Erika Damsbo,Compound Women,DEN,0,Erika Damsbo,,World Archery Championship 2021,0,1/48 Eliminations
Esmeralda Sanchez,Compound Women,MEX,143,Etsuko Miyata,Esmeralda Sanchez,World Archery Championship 2021,139,1/48 Eliminations
Andrea Becerra,Compound Women,MEX,0,Andrea Becerra,,World Archery Championship 2021,0,1/48 Eliminations
Linda Ochoa-Anderson,Compound Women,USA,0,,Linda Ochoa-Anderson,World Archery Championship 2021,0,1/48 Eliminations
Paola Natale,Compound Women,ITA,134,Paola Natale,Rita Pereira,World Archery Championship 2021,144,1/48 Eliminations
Carolin Landesfeind,Compound Women,GER,137,Astrid Barria,Carolin Landesfeind,World Archery Championship 2021,130,1/48 Eliminations
Layla Annison,Compound Women,GBR,0,Layla Annison,,World Archery Championship 2021,0,1/48 Eliminations
Maris Tetsmann,Compound Women,EST,0,,Maris Tetsmann,World Archery Championship 2021,0,1/48 Eliminations
Yun Soo Song,Compound Women,KOR,0,Yun Soo Song,,World Archery Championship 2021,0,1/48 Eliminations
Ella Gibson,Compound Women,GBR,0,Ella Gibson,,World Archery Championship 2021,0,1/48 Eliminations
Sooin Sim,Compound Women,KOR,144,Andrea Nicole Moccia,Sooin Sim,World Archery Championship 2025,143,1/48 Eliminations
Mingxing Li,Compound Women,CHN,139,Mingxing Li,Anna Twining,World Archery Championship 2025,145,1/48 Eliminations
Amaya Amparo Cojuangco,Compound Women,PHI,145,Sandra Jankowska,Amaya Amparo Cojuangco,World Archery Championship 2025,144,1/48 Eliminations
Olivia Dean,Compound Women,USA,126,Olivia Dean,Michiko Brianna Gonzales,World Archery Championship 2025,145,1/48 Eliminations
Yurike Nina Bonita Pereira,Compound Women,INA,147,Eowyn Mamalias,Yurike Nina Bonita Pereira,World Archery Championship 2025,140,1/48 Eliminations
Chloe Leroy,Compound Women,FRA,144,Lea Girault,Chloe Leroy,World Archery Championship 2025,142,1/48 Eliminations
Jeanine Van Kradenburg,Compound Women,RSA,146,Jeanine Van Kradenburg,Paula Diaz Morillas,World Archery Championship 2025,147,1/48 Eliminations
Thi Kim Anh Nguyen,Compound Women,VIE,144,Thi Kim Anh Nguyen,Jolita Antanaitytė-Garškienė,World Archery Championship 2025,146,1/48 Eliminations
Most Kulsum Akther Mone,Compound Women,BAN,149,Camila Alvarenga,Most Kulsum Akther Mone,World Archery Championship 2025,143,1/48 Eliminations
Bianca Rodrigues,Compound Women,BRA,137,Bianca Rodrigues,Magdalena Zygmunciak,World Archery Championship 2025,144,1/48 Eliminations
Chaewon So,Compound Women,KOR,0,Chaewon So,,World Archery Championship 2025,0,1/48 Eliminations
"Tom Hall, Patrick Huston, James Woodgate",Recurve Men,GBR,5,"Ben Adriaensen, Senna Roos, Jarno De Smedt","Tom Hall, Patrick Huston, James Woodgate",World Archery Championship 2021,3,1/8 Eliminations
"Chun-Heng Wei, Guan-Lin Yu, Cheng-Hao Hung",Recurve Men,TPE,3,"Chun-Heng Wei, Guan-Lin Yu, Cheng-Hao Hung","Atul Verma, Aditya Choudhary, Parth Sushant Salunkhe",World Archery Championship 2021,5,1/8 Eliminations
"Thomas Chirault, Clement Jacquey, Lou Thirion",Recurve Men,FRA,5,"Mete Gazoz, Samet Ak, Musa Arzuman","Thomas Chirault, Clement Jacquey, Lou Thirion",World Archery Championship 2021,4,1/8 Eliminations
"Yoshito Kuwae, Wataru Oonuki, Takaharu Furukawa",Recurve Men,JPN,5,"Galsan Bazarzhapov, Erdem Tsydypov, Beligto Tsynguev","Yoshito Kuwae, Wataru Oonuki, Takaharu Furukawa",World Archery Championship 2021,3,1/8 Eliminations
"Miguel Alvarino Garcia, Daniel Castro Barcala, Pablo Acha",Recurve Men,ESP,6,"Ivan Kozhokar, Oleksii Hunbin, Heorhiy Ivanytskyy","Miguel Alvarino Garcia, Daniel Castro Barcala, Pablo Acha",World Archery Championship 2021,0,1/8 Eliminations
"Matthew Nofel, Jack Williams, Brady Ellison",Recurve Men,USA,0,"Matthew Nofel, Jack Williams, Brady Ellison","Carlos Rojas, Angel Alvarado, Luis Alvarez",World Archery Championship 2021,6,1/8 Eliminations
"Jin Hyek Oh, Je Deok Kim, Woojin Kim",Recurve Men,KOR,0,,"Jin Hyek Oh, Je Deok Kim, Woojin Kim",World Archery Championship 2021,0,1/12 Eliminations
"Florian Unruh, Felix Wieser, Maximilian Weckmueller",Recurve Men,GER,0,"Florian Unruh, Felix Wieser, Maximilian Weckmueller","Den Habjan Malavasic, Ziga Ravnikar, Luka Arnez",World Archery Championship 2021,6,1/12 Eliminations
"Marcus D’Almeida, Marcelo Costa, Bernardo Oliveira",Recurve Men,BRA,6,"Thomas Flossbach, Marco Lopez, Jose Lopez","Marcus D’Almeida, Marcelo Costa, Bernardo Oliveira",World Archery Championship 2021,0,1/12 Eliminations
"Federico Musolesi, Alessandro Paoli, Mauro Nespoli",Recurve Men,ITA,0,"Federico Musolesi, Alessandro Paoli, Mauro Nespoli",,World Archery Championship 2021,0,1/12 Eliminations
"Tom Hall, Patrick Huston, James Woodgate",Recurve Men,GBR,0,,"Tom Hall, Patrick Huston, James Woodgate",World Archery Championship 2021,0,1/12 Eliminations
"Ben Adriaensen, Senna Roos, Jarno De Smedt",Recurve Men,BEL,5,"Ram Krishna Saha, Ruman Shana, Md Hakim Ahmed Rubel","Ben Adriaensen, Senna Roos, Jarno De Smedt",World Archery Championship 2021,3,1/12 Eliminations
"Atul Verma, Aditya Choudhary, Parth Sushant Salunkhe",Recurve Men,IND,5,"Eric Peters, Brandon Xuereb, Andrew Azores","Atul Verma, Aditya Choudhary, Parth Sushant Salunkhe",World Archery Championship 2021,4,1/12 Eliminations
"Chun-Heng Wei, Guan-Lin Yu, Cheng-Hao Hung",Recurve Men,TPE,0,"Chun-Heng Wei, Guan-Lin Yu, Cheng-Hao Hung",,World Archery Championship 2021,0,1/12 Eliminations
"Thomas Chirault, Clement Jacquey, Lou Thirion",Recurve Men,FRA,0,,"Thomas Chirault, Clement Jacquey, Lou Thirion",World Archery Championship 2021,0,1/12 Eliminations
"Mete Gazoz, Samet Ak, Musa Arzuman",Recurve Men,TUR,4,"Mete Gazoz, Samet Ak, Musa Arzuman","Oskar Kasprowski, Filip Lazowski, Kacper Sierakowski",World Archery Championship 2021,5,1/12 Eliminations
"Yoshito Kuwae, Wataru Oonuki, Takaharu Furukawa",Recurve Men,JPN,5,"Luis Goncalves, Tiago Matos, Nuno Carneiro","Yoshito Kuwae, Wataru Oonuki, Takaharu Furukawa",World Archery Championship 2021,1,1/12 Eliminations
"Galsan Bazarzhapov, Erdem Tsydypov, Beligto Tsynguev",Recurve Men,RAF,0,"Galsan Bazarzhapov, Erdem Tsydypov, Beligto Tsynguev",,World Archery Championship 2021,0,1/12 Eliminations
"Miguel Alvarino Garcia, Daniel Castro Barcala, Pablo Acha",Recurve Men,ESP,0,,"Miguel Alvarino Garcia, Daniel Castro Barcala, Pablo Acha",World Archery Championship 2021,0,1/12 Eliminations
"Ivan Kozhokar, Oleksii Hunbin, Heorhiy Ivanytskyy",Recurve Men,UKR,4,"Ivan Kozhokar, Oleksii Hunbin, Heorhiy Ivanytskyy","Gantugs Jantsan, Dashnamjil Dorjsuren, Narmandakh Enkhtur",World Archery Championship 2021,5,1/12 Eliminations
"Carlos Rojas, Angel Alvarado, Luis Alvarez",Recurve Men,MEX,1,"Carlos Rojas, Angel Alvarado, Luis Alvarez","Gijs Broeksma, Jonah Wilthagen, Steve Wijler",World Archery Championship 2021,5,1/12 Eliminations
"Matthew Nofel, Jack Williams, Brady Ellison",Recurve Men,USA,0,"Matthew Nofel, Jack Williams, Brady Ellison",,World Archery Championship 2021,0,1/12 Eliminations
"Chaeyoung Kang, San An, Minhee Jang",Recurve Women,KOR,5,"Ana Vazquez, Aida Roman, Alejandra Valencia","Chaeyoung Kang, San An, Minhee Jang",World Archery Championship 2021,3,Gold Medal Match
"Melodie Richard, Caroline Lopez, Lisa Barbelin",Recurve Women,FRA,6,"Ane Marcelle Dos Santos, Ana Clara Dias de Carvalho Machado, Sarah Nikitin","Melodie Richard, Caroline Lopez, Lisa Barbelin",World Archery Championship 2021,2,Bronze Medal Match
"Chaeyoung Kang, San An, Minhee Jang",Recurve Women,KOR,5,"Melodie Richard, Caroline Lopez, Lisa Barbelin","Chaeyoung Kang, San An, Minhee Jang",World Archery Championship 2021,4,Semifinals
"Ana Vazquez, Aida Roman, Alejandra Valencia",Recurve Women,MEX,0,"Ana Vazquez, Aida Roman, Alejandra Valencia","Ane Marcelle Dos Santos, Ana Clara Dias de Carvalho Machado, Sarah Nikitin",World Archery Championship 2021,6,Semifinals
"Chaeyoung Kang, San An, Minhee Jang",Recurve Women,KOR,5,"Bryony Pitman, Yulia Hinckley, Penny Healey","Chaeyoung Kang, San An, Minhee Jang",World Archery Championship 2021,1,Quarterfinals
"Melodie Richard, Caroline Lopez, Lisa Barbelin",Recurve Women,FRA,2,"Melodie Richard, Caroline Lopez, Lisa Barbelin","Michelle Kroppen, Elisa Tartler, Katharina Bauer",World Archery Championship 2021,6,Quarterfinals
"Ane Marcelle Dos Santos, Ana Clara Dias de Carvalho Machado, Sarah Nikitin",Recurve Women,BRA,5,"Vanessa Landi, Chiara Rebagliati, Lucilla Boari","Ane Marcelle Dos Santos, Ana Clara Dias de Carvalho Machado, Sarah Nikitin",World Archery Championship 2021,3,Quarterfinals
"Ana Vazquez, Aida Roman, Alejandra Valencia",Recurve Women,MEX,2,"Ana Vazquez, Aida Roman, Alejandra Valencia","Ankita Bhakat, Ridhi, Komalika Bari",World Archery Championship 2021,6,Quarterfinals
"Chaeyoung Kang, San An, Minhee Jang",Recurve Women,KOR,6,"Marie Horackova, Jindriska Vaneckova, Klara Grapova","Chaeyoung Kang, San An, Minhee Jang",World Archery Championship 2021,0,1/8 Eliminations
"Bryony Pitman, Yulia Hinckley, Penny Healey",Recurve Women,GBR,0,"Bryony Pitman, Yulia Hinckley, Penny Healey","Lidiia Sichenikova, Polina Rodionova, Veronika Marchenko",World Archery Championship 2021,6,1/8 Eliminations
"Michelle Kroppen, Elisa Tartler, Katharina Bauer",Recurve Women,GER,5,"Karina Kozłowska, Hanna Marusava, Karyna Dziominskaya","Michelle Kroppen, Elisa Tartler, Katharina Bauer",World Archery Championship 2021,1,1/8 Eliminations
"Melodie Richard, Caroline Lopez, Lisa Barbelin",Recurve Women,FRA,2,"Melodie Richard, Caroline Lopez, Lisa Barbelin","Sylwia Zyzanska, Wioleta Myszor, Natalia Lesniak",World Archery Championship 2021,6,1/8 Eliminations
"Ane Marcelle Dos Santos, Ana Clara Dias de Carvalho Machado, Sarah Nikitin",Recurve Women,BRA,4,"Ane Marcelle Dos Santos, Ana Clara Dias de Carvalho Machado, Sarah Nikitin","Elena Osipova, Svetlana Gomboeva, Inna Stepanova",World Archery Championship 2021,5,1/8 Eliminations
"Vanessa Landi, Chiara Rebagliati, Lucilla Boari",Recurve Women,ITA,6,"Casey Kaufhold, Jennifer Mucino, Gabrielle Sasai","Vanessa Landi, Chiara Rebagliati, Lucilla Boari",World Archery Championship 2021,2,1/8 Eliminations
"Ankita Bhakat, Ridhi, Komalika Bari",Recurve Women,IND,5,"Miki Kishizuka, Tomomi Sugimoto, Mao Watanabe","Ankita Bhakat, Ridhi, Komalika Bari",World Archery Championship 2021,1,1/8 Eliminations
"Ana Vazquez, Aida Roman, Alejandra Valencia",Recurve Women,MEX,0,"Ana Vazquez, Aida Roman, Alejandra Valencia","Teja Slana, Spela Fers, Ana Umer",World Archery Championship 2021,6,1/8 Eliminations
"Chaeyoung Kang, San An, Minhee Jang",Recurve Women,KOR,0,,"Chaeyoung Kang, San An, Minhee Jang",World Archery Championship 2021,0,1/12 Eliminations
"Marie Horackova, Jindriska Vaneckova, Klara Grapova",Recurve Women,CZE,6,"Yasemin Anagoz, Gulnaz Coskun, Asya Karatayli","Marie Horackova, Jindriska Vaneckova, Klara Grapova",World Archery Championship 2021,0,1/12 Eliminations
"Lidiia Sichenikova, Polina Rodionova, Veronika Marchenko",Recurve Women,UKR,0,,"Lidiia Sichenikova, Polina Rodionova, Veronika Marchenko",World Archery Championship 2021,0,1/12 Eliminations
"Bryony Pitman, Yulia Hinckley, Penny Healey",Recurve Women,GBR,0,"Bryony Pitman, Yulia Hinckley, Penny Healey",,World Archery Championship 2021,0,1/12 Eliminations
"Michelle Kroppen, Elisa Tartler, Katharina Bauer",Recurve Women,GER,0,,"Michelle Kroppen, Elisa Tartler, Katharina Bauer",World Archery Championship 2021,0,1/12 Eliminations
"Karina Kozłowska, Hanna Marusava, Karyna Dziominskaya",Recurve Women,BLR,0,"Karina Kozłowska, Hanna Marusava, Karyna Dziominskaya",,World Archery Championship 2021,0,1/12 Eliminations
"Sylwia Zyzanska, Wioleta Myszor, Natalia Lesniak",Recurve Women,POL,6,"Mashail Alotaibi, Shaden Al Marshud, Sarah Saloum","Sylwia Zyzanska, Wioleta Myszor, Natalia Lesniak",World Archery Championship 2021,0,1/12 Eliminations
"Melodie Richard, Caroline Lopez, Lisa Barbelin",Recurve Women,FRA,0,"Melodie Richard, Caroline Lopez, Lisa Barbelin",,World Archery Championship 2021,0,1/12 Eliminations
"Elena Osipova, Svetlana Gomboeva, Inna Stepanova",Recurve Women,RAF,0,,"Elena Osipova, Svetlana Gomboeva, Inna Stepanova",World Archery Championship 2021,0,1/12 Eliminations
"Ane Marcelle Dos Santos, Ana Clara Dias de Carvalho Machado, Sarah Nikitin",Recurve Women,BRA,4,"Ane Marcelle Dos Santos, Ana Clara Dias de Carvalho Machado, Sarah Nikitin","Tania Edwards, Stephanie Barrett, Virginie Chénier",World Archery Championship 2021,5,1/12 Eliminations
"Vanessa Landi, Chiara Rebagliati, Lucilla Boari",Recurve Women,ITA,0,,"Vanessa Landi, Chiara Rebagliati, Lucilla Boari",World Archery Championship 2021,0,1/12 Eliminations
"Casey Kaufhold, Jennifer Mucino, Gabrielle Sasai",Recurve Women,USA,0,"Casey Kaufhold, Jennifer Mucino, Gabrielle Sasai",,World Archery Championship 2021,0,1/12 Eliminations
"Ankita Bhakat, Ridhi, Komalika Bari",Recurve Women,IND,0,,"Ankita Bhakat, Ridhi, Komalika Bari",World Archery Championship 2021,0,1/12 Eliminations
"Miki Kishizuka, Tomomi Sugimoto, Mao Watanabe",Recurve Women,JPN,0,"Miki Kishizuka, Tomomi Sugimoto, Mao Watanabe",,World Archery Championship 2021,0,1/12 Eliminations
"Teja Slana, Spela Fers, Ana Umer",Recurve Women,SLO,3,"Teja Slana, Spela Fers, Ana Umer","Ines De Velasco, Elia Canales, Leyre Fernandez Infante",World Archery Championship 2021,5,1/12 Eliminations
"Ana Vazquez, Aida Roman, Alejandra Valencia",Recurve Women,MEX,0,"Ana Vazquez, Aida Roman, Alejandra Valencia",,World Archery Championship 2021,0,1/12 Eliminations
