event_name,state_name,player_name,score
Compound Men Individual,GUJARAT,TAVIYA BHANABHAI,699
Compound Men Individual,GOA,SAURABH PANDEY,698
Compound Men Individual,UTTARAKHAND,JAI SINGH,698
Compound Men Individual,JHARKHAND,KRISH DEV,697
Compound Men Individual,UTTAR PRADESH,ABHISHEK TIWARI,697
Compound Men Individual,UTTARAKHAND,RISHAB TYAGI,691
Compound Men Individual,JAMMU AND KASHMIR,SANGARSH SINGH,691
Compound Men Individual,MANIPUR,MUTUM SINGH,689
Compound Men Individual,UTTARAKHAND,MOHAN BHARDWAJ,688
Compound Men Individual,RAJASTHAN,AJAY SHEKHAWAT,686
Compound Men Individual,HIMACHAL PRADESH,ANTRISH PATIAL,684
Compound Men Individual,ASSAM,NIJWMSA BORGOYARY,682
Compound Men Individual,UTTARAKHAND,DIGVIJAY SINGH,681
Compound Men Individual,MIZORAM,GAKUL TAMULI,680
Compound Men Individual,WEST BENGAL,GANESH TUDU,678
Indian Round Men Individual,UTTARAKHAND,ADARSH PANWAR,673
Indian Round Men Individual,UTTAR PRADESH,SUBHAM,662
Indian Round Men Individual,MAHARASHTRA,GAURAV CHANDANE,660
Indian Round Men Individual,HARYANA,YASHU,660
Indian Round Men Individual,UTTAR PRADESH,MANISH MANISH,658
Indian Round Men Individual,MANIPUR,CHINGAKHAM SINGH,656
Indian Round Men Individual,ANDHRA PRADESH,GUDURU LOKESH,655
Indian Round Men Individual,ANDHRA PRADESH,GEMMELI NAIDU,654
Indian Round Men Individual,MANIPUR,CHANAMBAM SINGH,654
Indian Round Men Individual,PUNJAB,GURMANN KAMBOJ,652
Indian Round Men Individual,JHARKHAND,MADHO BIRUA,652
Indian Round Men Individual,UTTAR PRADESH,JAYDEEP KUSHWAHA,651
Indian Round Men Individual,HARYANA,ASHISH MALIK,650
Indian Round Men Individual,DELHI,MONU KUMAR,646
Indian Round Men Individual,ASSAM,ARUN BARO,646
Indian Round Men Individual,ODISHA,SRABAN MANDANGI,644
Indian Round Men Individual,RAJASTHAN,KAMAL KUMAR,642
Indian Round Men Individual,MANIPUR,ELANGBAM MEITEI,642
Indian Round Men Individual,MAHARASHTRA,ROSHAN SOLANKE,638
Indian Round Men Individual,UTTAR PRADESH,ABHISHEK,638
Indian Round Men Individual,MIZORAM,VAI BHAV,637
Indian Round Men Individual,HARYANA,RAHUL,636
Indian Round Men Individual,ANDHRA PRADESH,AKUMALA SATHWIK,636
Indian Round Men Individual,HARYANA,RAVI,635
Indian Round Men Individual,BIHAR,JAY PRAKASH,635
Indian Round Men Individual,KERALA,DASARATH RAJAGOPAL,634
Indian Round Men Individual,MANIPUR,KEISHAM SINGH,634
