event_name,name,state/unit
COMPOUND (MEN),Sahil Baweja,Goa
COMPOUND (MEN),Ujjal Kumar Bora,Assam
COMPOUND (MEN),Desai Tirth,Gujarat
COMPOUND (MEN),TAVIYA NITIN,Gujarat
COMPOUND (MEN),Patel Nisarg Haresh Kumar,Gujarat
COMPOUND (MEN),Mukeshbhai Reliyabhai Rathva,Gujarat
COMPOUND (MEN),KARRI BUDDESWARARAO,Andhra Pradesh
COMPOUND (MEN),DAGGOLU JYOTHI PRAKASH REDDY,Andhra Pradesh
COMPOUND (MEN),BATTULA RAVI TEJA,Andhra Pradesh
COMPOUND (MEN),Mukesh kumar,Mizoram
COMPOUND (MEN),Gakul Tamuli,Mizoram
COMPOUND (MEN),Pukhrambam Dingku singh,Mizoram
COMPOUND (MEN),Rakshit Hooda,Mizoram
COMPOUND (MEN),Phermeki Salahe,Meghalaya
COMPOUND (MEN),Liharles k sohphoh,Meghalaya
COMPOUND (MEN),Riju M. Sangma,Meghalaya
COMPOUND (MEN),Raju Kumar Rai,Meghalaya
COMPOUND (MEN),Karma Tenzing Bhutia,Sikkim
COMPOUND (MEN),Sonam Thendup Lepcha,Sikkim
COMPOUND (MEN),Wangchuk Dorjee Lepcha,Sikkim
COMPOUND (MEN),Ritesh Rai,Sikkim
COMPOUND (MEN),Isaiah Rajender Sanam,Telangana
COMPOUND (MEN),Kandula sai sushanth,Telangana
COMPOUND (MEN),VEMULA SHIVA SAI,Telangana
COMPOUND (MEN),Bakaram Rahul,Telangana
COMPOUND (MEN),Biplab Singha Karjee,West Bengal
COMPOUND (MEN),Sanjay Hembram,West Bengal
COMPOUND (MEN),Arup Kujur,West Bengal
COMPOUND (MEN),Ganesh Tudu,West Bengal
COMPOUND (MEN),Tsewang Sangdup,Ladakh
COMPOUND (MEN),Feroz ahmad,Ladakh
COMPOUND (MEN),Mohd Shafi,Ladakh
COMPOUND (MEN),Nawang Nurboo,Ladakh
COMPOUND (MEN),Harender kumar,Nagaland
COMPOUND (MEN),Thenuohelie metha,Nagaland
COMPOUND (MEN),I Imchayanger,Nagaland
COMPOUND (MEN),Vikhotso Kezieo,Nagaland
COMPOUND (MEN),Mohamed farooq,Tamilnadu
COMPOUND (MEN),G.R.SRIRAAM,Tamilnadu
COMPOUND (MEN),PRADEEP RAJ,Tamilnadu
COMPOUND (MEN),Adarsh RAJ,Bihar
COMPOUND (MEN),Vikram kumar,Bihar
COMPOUND (MEN),Sayant Rajeev,Kerala
COMPOUND (MEN),Shyam v m,Kerala
COMPOUND (MEN),ROBINS SHYJAN,Kerala
COMPOUND (MEN),Arjun Murukan,Kerala
COMPOUND (MEN),DIBYA RANJAN MUNDA,Odisha
